SAMD11,NM_152486.2
ELOA,NM_003198.2
GALE,NM_000403.3
HMGCL,NM_000191.2
FUCA1,NM_000147.4
CNR2,NM_001841.2
GRHL3,NM_198174.2
GRHL3,NM_021180.3
NIPAL3,NM_020448.4
RUNX3,NM_001031680.2
RHD,NM_016124.4
RHCE,NM_020485.4
LDLRAP1,NM_015627.2
SELENON,NM_020451.2
EXTL1,NM_004455.2
SLC30A2,NM_001004434.2
TRIM63,NM_032588.3
CNKSR1,NM_006314.2
CATSPER4,NM_198137.1
ZNF683,NM_001114759.1
LIN28A,NM_024674.4
DHDDS,NM_024887.3
ARID1A,NM_006015.4
PIGV,NM_017837.3
GPATCH3,NM_022078.2
NR0B2,NM_021969.2
NUDC,NM_006600.3
KDF1,NM_152365.2
SLC9A1,NM_003047.4
TMEM222,NM_032125.2
MAP3K6,NM_004672.4
FCN3,NM_003665.2
AHDC1,NM_001029882.3
FGR,NM_005248.2
PTAFR,NM_000952.4
SESN2,NM_031459.4
RCC1,NM_001048194.2
TRNAU1AP,NM_017846.4
OPRD1,NM_000911.3
EPB41,NM_004437.3
EPB41,NM_001166005.1
MECR,NM_016011.3
LAPTM5,NM_006762.2
SDC3,NM_014654.3
FABP3,NM_004102.3
HCRTR1,NM_001525.2
COL16A1,NM_001856.3
ADGRB2,NM_001294336.1
KHDRBS1,NM_006559.2
CCDC28B,NM_024296.4
IQCC,NM_001160042.1
LCK,NM_001042771.2
HDAC1,NM_004964.2
YARS,NM_003680.3
HPCA,NM_002143.2
AK2,NM_001625.3
AK2,NM_013411.4
AZIN2,NM_052998.3
A3GALT2,NM_001080438.1
PHC2,NM_198040.2
CSMD2,NM_052896.4
GJB4,NM_153212.2
GJB3,NM_024009.2
GJA4,NM_002060.2
DLGAP3,NM_001080418.2
ZMYM6,NM_007167.3
CLSPN,NM_001190481.1
AGO4,NM_017629.3
AGO1,NM_012199.2
TEKT2,NM_014466.2
COL8A2,NM_005202.3
TRAPPC3,NM_001270894.1
THRAP3,NM_005119.3
CSF3R,NM_000760.3
GRIK3,NM_000831.3
SNIP1,NM_024700.3
RSPO1,NM_001038633.3
CDCA8,NM_001256875.1
MANEAL,NM_001031740.2
MTF1,NM_005955.2
INPP5B,NM_005540.2
RRAGC,NM_022157.3
GJA9,NM_030772.4
NDUFS5,NM_004552.2
MACF1,NM_012090.5
NT5C1A,NM_032526.2
TRIT1,NM_017646.4
MFSD2A,NM_001136493.2
PPT1,NM_000310.3
ZMPSTE24,NM_005857.4
COL9A2,NM_001852.3
ZFP69,NM_198494.2
RIMS3,NM_014747.2
KCNQ4,NM_004700.3
CTPS1,NM_001905.3
SCMH1,NM_001031694.2
EDN2,NM_001956.4
HIVEP3,NM_001127714.2
RIMKLA,NM_173642.3
CCDC30,NM_001080850.2
CLDN19,NM_148960.2
P3H1,NM_022356.3
ERMAP,NM_018538.3
SLC2A1,NM_006516.2
CFAP57,NM_152498.3
MPL,NM_005373.2
SZT2,NM_015284.3
PTPRF,NM_002840.3
ST3GAL3,NM_006279.3
SLC6A9,NM_201649.3
DMAP1,NM_019100.4
PTCH2,NM_003738.4
EIF2B3,NM_020365.4
HECTD3,NM_024602.5
UROD,NM_000374.4
MUTYH,NM_001128425.1
TOE1,NM_025077.3
TESK2,NM_007170.2
MMACHC,NM_015506.2
PRDX1,NM_002574.3
MAST2,NM_015112.2
PIK3R3,NM_003629.3
POMGNT1,NM_017739.3
RAD54L,NM_003579.3
LRRC41,NM_006369.4
FAAH,NM_001441.2
DMBX1,NM_147192.2
CYP4B1,NM_001099772.1
CYP4A11,NM_000778.3
CYP4A22,NM_001010969.2
STIL,NM_003035.2
CMPK1,NM_001136140.1
FOXE3,NM_012186.2
SLC5A9,NM_001135181.1
DMRTA2,NM_032110.2
CDKN2C,NM_001262.2
EPS15,NM_001981.2
NRDC,NM_002525.2
ORC1,NM_004153.3
ZCCHC11,NM_001009881.2
COA7,NM_023077.2
SCP2,NM_002979.4
CPT2,NM_000098.2
LRP8,NM_004631.4
HSPB11,NM_016126.2
LDLRAD1,NM_001010978.3
FAM151A,NM_176782.2
TTC4,NM_004623.4
PARS2,NM_152268.3
TTC22,NM_001114108.1
TTC22,NM_017904.3
DHCR24,NM_014762.3
BSND,NM_057176.2
PCSK9,NM_174936.3
USP24,NM_015306.2
PLPP3,NM_003713.4
PRKAA2,NM_006252.3
FYB2,NM_001004303.4
C8A,NM_000562.2
C8B,NM_000066.3
TACSTD2,NM_002353.2
MYSM1,NM_001085487.2
FGGY,NM_001113411.1
CYP2J2,NM_000775.2
NFIA,NM_005595.4
PATJ,NM_176877.2
KANK4,NM_181712.4
USP1,NM_003368.4
DOCK7,NM_001271999.1
ANGPTL3,NM_014495.3
ATG4C,NM_032852.3
FOXD3,NM_012183.2
ALG6,NM_013339.3
EFCAB7,NM_032437.3
PGM1,NM_002633.2
PGM1,NM_001172818.1
ROR1,NM_005012.3
CACHD1,NM_020925.2
JAK1,NM_002227.2
DNAJC6,NM_001256864.1
LEPR,NM_002303.5
SLC35D1,NM_015139.2
C1orf141,NM_001276351.1
IL23R,NM_144701.2
IL12RB2,NM_001559.2
RPE65,NM_000329.2
LRRC7,NM_020794.2
LRRC40,NM_017768.4
SRSF11,NM_004768.3
CTH,NM_001902.5
PTGER3,NM_001126044.1
LRRIQ3,NM_001105659.1
TNNI3K,NM_015978.2
LHX8,NM_001001933.1
ACADM,NM_000016.5
MSH4,NM_002440.3
ST6GALNAC5,NM_030965.1
NEXN,NM_144573.3
IFI44L,NM_006820.3
ADGRL2,NM_012302.3
PRKACB,NM_182948.3
DNASE2B,NM_021233.2
LPAR3,NM_012152.2
SYDE2,NM_032184.1
BCL10,NM_003921.4
CYR61,NM_001554.4
COL24A1,NM_152890.5
ODF2L,NM_001184765.1
CLCA2,NM_006536.5
CLCA1,NM_001285.3
GBP2,NM_004120.4
GBP4,NM_052941.4
ZNF326,NM_182975.2
ZNF644,NM_201269.2
HFM1,NM_001017975.4
TGFBR3,NM_003243.4
BRDT,NM_207189.3
BTBD8,NM_183242.3
GLMN,NM_053274.2
GFI1,NM_005263.3
EVI5,NM_005665.4
RPL5,NM_000969.3
CCDC18,NM_206886.4
ABCA4,NM_000350.2
ARHGAP29,NM_004815.3
ABCD3,NM_002858.3
F3,NM_001993.4
ALG14,NM_144988.3
PTBP2,NM_001300985.1
DPYD,NM_000110.3
PLPPR4,NM_014839.4
AGL,NM_000642.2
SLC35A3,NM_012243.2
SASS6,NM_194292.2
DBT,NM_001918.3
CDC14A,NM_033312.2
GPR88,NM_022049.2
VCAM1,NM_001078.3
SLC30A7,NM_133496.4
S1PR1,NM_001400.4
COL11A1,NM_001854.3
RNPC3,NM_017619.3
NTNG1,NM_014917.2
VAV3,NM_006113.4
SLC25A24,NM_013386.4
HENMT1,NM_144584.2
STXBP3,NM_007269.2
GPSM2,NM_013296.4
TAF13,NM_005645.3
KIAA1324,NM_001267048.1
SARS,NM_006513.3
CELSR2,NM_001408.2
MYBPHL,NM_001010985.2
SORT1,NM_002959.5
SYPL2,NM_001040709.1
GNAI3,NM_006496.3
GNAT2,NM_005272.3
AMPD2,NM_001257360.1
GSTM4,NM_000850.4
GSTM3,NM_000849.4
EPS8L3,NM_139053.2
CSF1,NM_000757.5
ALX3,NM_006492.2
SLC6A17,NM_001010898.2
KCNC4,NM_001039574.2
RBM15,NM_022768.4
PROK1,NM_032414.2
KCNA2,NM_004974.3
DRAM2,NM_178454.4
CHIA,NM_201653.3
OVGP1,NM_002557.3
ADORA3,NM_000677.3
DDX20,NM_007204.4
KCND3,NM_004980.4
CAPZA1,NM_006135.2
MOV10,NM_001130079.2
SLC16A1,NM_003051.3
LRIG2,NM_014813.2
MAGI3,NM_001142782.1
PTPN22,NM_015967.5
AP4B1,NM_006594.3
DCLRE1B,NM_022836.3
DENND2C,NM_001256404.1
AMPD1,NM_000036.2
NRAS,NM_002524.4
CSDE1,NM_001130523.2
TSHB,NM_000549.4
NGF,NM_002506.2
VANGL1,NM_138959.2
CASQ2,NM_001232.3
NHLH2,NM_005599.3
ATP1A1,NM_000701.7
IGSF3,NM_001542.3
CD2,NM_001767.3
CD101,NM_004258.5
TTF2,NM_003594.3
SPAG17,NM_206996.2
TBX15,NM_152380.2
WARS2,NM_015836.3
HSD3B2,NM_000198.3
HSD3B1,NM_000862.2
PHGDH,NM_006623.3
HMGCS2,NM_005518.3
NOTCH2,NM_024408.3
PDE4DIP,NM_001002811.2
HJV,NM_213653.3
RBM8A,NM_005105.4
PEX11B,NM_003846.2
FMO5,NM_001461.3
CHD1L,NM_004284.4
BCL9,NM_004326.3
ACP6,NM_016361.4
GJA5,NM_005266.6
GJA8,NM_005267.4
FCGR1A,NM_000566.3
SV2A,NM_014849.4
SF3B4,NM_005850.4
MTMR11,NM_001145862.1
VPS45,NM_007259.4
APH1A,NM_001077628.2
PRPF3,NM_004698.2
TARS2,NM_025150.4
ECM1,NM_004425.3
ADAMTSL4,NM_019032.5
MCL1,NM_021960.4
HORMAD1,NM_032132.4
CTSK,NM_000396.3
SETDB1,NM_001145415.1
CERS2,NM_181746.3
PRUNE1,NM_021222.2
SCNM1,NM_024041.3
PIP5K1A,NM_001135636.1
ZNF687,NM_020832.2
RFX5,NM_000449.3
PSMB4,NM_002796.2
POGZ,NM_015100.3
TUFT1,NM_020127.2
SNX27,NM_030918.5
RORC,NM_005060.3
C2CD4D,NM_001136003.1
TCHHL1,NM_001008536.1
TCHH,NM_007113.3
RPTN,NM_001122965.1
HRNR,NM_001009931.2
FLG,NM_002016.1
FLG2,NM_001014342.2
LCE3D,NM_032563.1
LCE3B,NM_178433.1
C1orf68,NM_001024679.2
KPRP,NM_001025231.1
LOR,NM_000427.2
PGLYRP3,NM_052891.2
PGLYRP4,NM_020393.3
S100A3,NM_002960.1
ILF2,NM_004515.3
NPR1,NM_000906.3
GATAD2B,NM_020699.2
DENND4B,NM_014856.2
RPS27,NM_001030.4
TPM3,NM_152263.3
HAX1,NM_006118.3
IL6R,NM_000565.3
CHRNB2,NM_000748.2
ADAR,NM_001111.4
KCNN3,NM_002249.5
PMVK,NM_006556.3
PYGO2,NM_138300.3
FLAD1,NM_025207.4
ZBTB7B,NM_001252406.2
DCST2,NM_144622.2
DCST1,NM_152494.3
EFNA3,NM_004952.4
DPM3,NM_153741.1
MUC1,NM_002456.5
THBS3,NM_007112.4
MTX1,NM_002455.4
GBA,NM_001005741.2
PKLR,NM_000298.5
FDPS,NM_001135822.1
ASH1L,NM_018489.2
MSTO1,NM_018116.3
YY1AP1,NM_001198903.1
DAP3,NM_004632.3
GON4L,NM_001282860.1
RIT1,NM_006912.5
ARHGEF2,NM_004723.3
UBQLN4,NM_020131.4
RAB25,NM_020387.2
LMNA,NM_170707.3
LMNA,NM_005572.3
SEMA4A,NM_022367.3
BGLAP,NM_199173.4
TMEM79,NM_032323.2
IQGAP3,NM_178229.4
NAXE,NM_144772.2
NTRK1,NM_001007792.1
INSRR,NM_014215.2
NTRK1,NM_001012331.1
ARHGEF11,NM_014784.3
ETV3L,NM_001004341.2
FCRL4,NM_031282.2
FCRL2,NM_030764.3
CD1A,NM_001763.2
CD1E,NM_030893.3
OR6Y1,NM_001005189.1
OR10X1,NM_001004477.1
OR10Z1,NM_001004478.1
SPTA1,NM_003126.2
MNDA,NM_002432.1
AIM2,NM_004833.1
ACKR1,NM_001122951.2
FCER1A,NM_002001.3
OR10J3,NM_001004467.1
OR10J5,NM_001004469.1
CRP,NM_000567.2
DUSP23,NM_017823.3
FCRL6,NM_001004310.2
CFAP45,NM_012337.2
KCNJ10,NM_002241.4
KCNJ9,NM_004983.2
IGSF8,NM_052868.4
ATP1A2,NM_000702.3
ATP1A4,NM_144699.3
CASQ1,NM_001231.4
DCAF8,NM_015726.3
PEX19,NM_002857.3
COPA,NM_004371.3
NCSTN,NM_015331.2
VANGL2,NM_020335.2
CD244,NM_016382.3
USF1,NM_007122.4
ARHGAP30,NM_181720.2
NECTIN4,NM_030916.2
UFC1,NM_016406.3
PPOX,NM_000309.3
B4GALT3,NM_001199873.1
NDUFS2,NM_004550.4
APOA2,NM_001643.1
NR1I3,NM_005122.4
MPZ,NM_000530.6
SDHC,NM_003001.3
SDHC,NM_001035511.1
FCGR2A,NM_021642.3
FCGR3A,NM_000569.6
FCGR3B,NM_000570.4
FCGR2B,NM_004001.4
ATF6,NM_007348.3
NOS1AP,NM_014697.2
UHMK1,NM_175866.4
DDR2,NM_006182.2
PBX1,NM_002585.3
LMX1A,NM_177398.3
RXRG,NM_006917.4
LRRC52,NM_001005214.3
MGST3,NM_004528.3
ALDH9A1,NM_000696.3
TMCO1,NM_019026.4
TADA1,NM_053053.3
CD247,NM_198053.2
ADCY10,NM_018417.5
DCAF6,NM_001198956.1
GPR161,NM_001267609.1
TBX19,NM_005149.2
DPT,NM_001937.4
ATP1B1,NM_001677.3
NME7,NM_013330.4
SLC19A2,NM_006996.2
F5,NM_000130.4
SELP,NM_003005.3
SELL,NM_000655.4
SELE,NM_000450.2
KIFAP3,NM_014970.3
GORAB,NM_152281.2
PRRX1,NM_022716.3
FMO3,NM_006894.5
FMO2,NM_001460.4
FMO1,NM_002021.2
FMO4,NM_002022.2
PRRC2C,NM_015172.3
MYOC,NM_000261.1
VAMP4,NM_001185127.1
PIGC,NM_002642.3
SUCO,NM_014283.4
FASLG,NM_000639.2
TNFSF18,NM_005092.3
TNFSF4,NM_003326.4
KLHL20,NM_014458.3
DARS2,NM_018122.4
SERPINC1,NM_000488.3
RABGAP1L,NM_014857.4
TNN,NM_022093.1
TNR,NM_003285.2
PAPPA2,NM_020318.2
ASTN1,NM_004319.2
BRINP2,NM_021165.3
RASAL2,NM_004841.3
SOAT1,NM_003101.5
NPHS2,NM_014625.3
TOR1AIP1,NM_001267578.1
CEP350,NM_014810.4
LHX4,NM_033343.3
ACBD6,NM_032360.3
XPR1,NM_004736.3
KIAA1614,NM_020950.1
MR1,NM_001194999.1
CACNA1E,NM_000721.3
GLUL,NM_002065.6
RNASEL,NM_021133.3
NPL,NM_030769.2
DHX9,NM_001357.4
LAMC1,NM_002293.3
LAMC2,NM_005562.2
NMNAT2,NM_015039.3
SMG7,NM_201569.2
NCF2,NM_000433.3
RGL1,NM_015149.4
COLGALT2,NM_015101.3
TSEN15,NM_052965.3
HMCN1,NM_031935.2
PRG4,NM_005807.4
TPR,NM_003292.2
PTGS2,NM_000963.3
PLA2G4A,NM_024420.2
RGS2,NM_002923.3
TROVE2,NM_001042369.2
CDC73,NM_024529.4
KCNT2,NM_198503.3
CFH,NM_000186.3
CFHR3,NM_021023.5
CFHR1,NM_002113.2
CFHR4,NM_001201550.2
CFHR2,NM_005666.2
CFHR5,NM_030787.3
F13B,NM_001994.2
ASPM,NM_018136.4
ZBTB41,NM_194314.2
CRB1,NM_201253.2
PTPRC,NM_002838.4
KIF14,NM_014875.2
DDX59,NM_001031725.4
INAVA,NM_018265.3
KIF21B,NM_017596.3
CACNA1S,NM_000069.2
PKP1,NM_001005337.2
TNNT2,NM_001001430.2
TNNT2,NM_000364.3
TNNI1,NM_003281.3
CSRP1,NM_004078.2
NAV1,NM_020443.4
LMOD1,NM_012134.2
GPR37L1,NM_004767.3
ARL8A,NM_138795.3
LGR6,NM_001017403.1
UBE2T,NM_014176.3
PPP1R12B,NM_002481.3
SYT2,NM_177402.4
KDM5B,NM_006618.3
ADIPOR1,NM_015999.5
PPFIA4,NM_001304331.1
ADORA1,NM_000674.2
CHI3L1,NM_001276.2
CHIT1,NM_003465.2
BTG2,NM_006763.2
FMOD,NM_002023.4
OPTC,NM_014359.3
ATP2B4,NM_001001396.2
SNRPE,NM_003094.3
SOX13,NM_005686.2
REN,NM_000537.3
KISS1,NM_002256.3
PLEKHA6,NM_014935.4
PPP1R15B,NM_032833.4
PIK3C2B,NM_002646.3
MDM4,NM_002393.4
NFASC,NM_015090.3
CNTN2,NM_005076.3
RBBP5,NM_005057.3
DSTYK,NM_015375.2
RAB29,NM_003929.2
SLC41A1,NM_173854.5
SLC26A9,NM_052934.3
AVPR1B,NM_000707.3
IKBKE,NM_014002.3
RASSF5,NM_182663.3
IL10,NM_000572.2
IL19,NM_013371.3
PIGR,NM_002644.3
C4BPA,NM_000715.3
CD55,NM_000574.4
CR2,NM_001006658.2
CR1,NM_000651.4
CR1L,NM_175710.1
CD46,NM_002389.4
PLXNA2,NM_025179.3
LAMB3,NM_000228.2
HSD11B1,NM_005525.3
IRF6,NM_006147.3
SYT14,NM_001146261.2
HHAT,NM_018194.5
KCNH1,NM_172362.2
RD3,NM_183059.2
NEK2,NM_001204183.1
NEK2,NM_002497.3
ATF3,NM_001674.3
FAM71A,NM_153606.3
FLVCR1,NM_014053.3
RPS6KC1,NM_001287219.1
PTPN14,NM_005401.4
CENPF,NM_016343.3
KCTD3,NM_016121.3
USH2A,NM_206933.2
TGFB2,NM_003238.3
LYPLAL1,NM_138794.4
SLC30A10,NM_018713.2
IARS2,NM_018060.3
RAB3GAP2,NM_012414.3
MARC2,NM_017898.3
HLX,NM_021958.3
HHIPL2,NM_024746.3
TAF1A,NM_001201536.1
DISP1,NM_032890.3
TLR5,NM_003268.5
TP53BP2,NM_001031685.2
NVL,NM_002533.3
WDR26,NM_025160.6
DNAH14,NM_001373.1
LBR,NM_002296.3
ENAH,NM_001008493.1
EPHX1,NM_000120.3
TMEM63A,NM_014698.2
PYCR2,NM_013328.3
LEFTY2,NM_003240.3
H3F3A,NM_002107.4
PARP1,NM_001618.3
ITPKB,NM_002221.3
PSEN2,NM_000447.2
COQ8A,NM_020247.4
PRSS38,NM_183062.2
WNT3A,NM_033131.3
ARF1,NM_001024226.1
GJC2,NM_020435.3
IBA57,NM_001010867.2
OBSCN,NM_052843.3
OBSCN,NM_001098623.2
TRIM11,NM_145214.2
TRIM17,NM_016102.3
HIST3H3,NM_003493.2
ACTA1,NM_001100.3
URB2,NM_014777.2
GALNT2,NM_004481.4
COG2,NM_007357.2
AGT,NM_000029.3
CAPN9,NM_006615.2
ARV1,NM_022786.1
GNPAT,NM_014236.3
EXOC8,NM_175876.4
SPRTN,NM_032018.5
EGLN1,NM_022051.2
TSNAX,NM_005999.2
DISC1,NM_018662.2
PCNX2,NM_014801.3
COA6,NM_001012985.2
TARBP1,NM_005646.3
IRF2BP2,NM_182972.2
GGPS1,NM_001037277.1
TBCE,NM_003193.4
B3GALNT2,NM_152490.4
LYST,NM_000081.3
NID1,NM_002508.2
EDARADD,NM_145861.2
LGALS8,NM_006499.4
ACTN2,NM_001103.3
MTR,NM_000254.2
RYR2,NM_001035.2
ZP4,NM_021186.3
CHRM3,NM_000740.2
FMN2,NM_020066.4
GREM2,NM_022469.3
RGS7,NM_002924.5
FH,NM_000143.3
KMO,NM_003679.4
WDR64,NM_144625.4
EXO1,NM_006027.4
CEP170,NM_014812.2
SDCCAG8,NM_006642.3
AKT3,NM_005465.4
ZBTB18,NM_205768.2
C1orf100,NM_001012970.2
ADSS,NM_001126.3
DESI2,NM_016076.4
COX20,NM_198076.4
HNRNPU,NM_031844.2
KIF26B,NM_018012.3
SMYD3,NM_022743.2
NLRP3,NM_004895.4
OR2B11,NM_001004492.1
GCSAML,NM_145278.4
OR13G1,NM_001005487.1
TRIM58,NM_015431.3
OR2W3,NM_001001957.2
OR2M2,NM_001004688.1
OR2T3,NM_001005495.1
TMEM18,NM_152834.2
TPO,NM_000547.5
PXDN,NM_012293.2
MYT1L,NM_015025.3
TRAPPC12,NM_016030.5
RNASEH1,NM_002936.4
RPS7,NM_001011.3
COLEC11,NM_024027.4
SOX11,NM_003108.3
CMPK2,NM_207315.3
KIDINS220,NM_020738.2
ASAP2,NM_003887.2
ITGB1BP1,NM_004763.3
ADAM17,NM_003183.4
KLF11,NM_003597.4
ROCK2,NM_004850.3
E2F6,NM_198256.3
NTSR2,NM_012344.3
LPIN1,NM_145693.2
NBAS,NM_015909.3
MYCN,NM_005378.5
GEN1,NM_182625.3
KCNS3,NM_002252.4
NT5C1B,NM_001002006.2
OSR1,NM_145260.2
WDR35,NM_001006657.1
MATN3,NM_002381.4
APOB,NM_000384.2
ITSN2,NM_147152.2
NCOA1,NM_003743.4
PTRHD1,NM_001013663.1
ADCY3,NM_004036.3
POMC,NM_001035256.1
DNMT3A,NM_175629.2
ASXL2,NM_018263.4
RAB10,NM_016131.4
HADHA,NM_000182.4
HADHB,NM_000183.2
SELENOI,NM_033505.2
DRC1,NM_145038.3
OTOF,NM_194323.2
OTOF,NM_194248.2
OTOF,NM_194322.2
KCNK3,NM_002246.2
AGBL5,NM_021831.5
EMILIN1,NM_007046.3
KHK,NM_000221.2
PRR30,NM_178553.3
SLC5A6,NM_021095.2
CAD,NM_004341.3
SLC30A3,NM_003459.4
TRIM54,NM_032546.3
MPV17,NM_002437.4
GTF3C2,NM_001035521.2
EIF2B4,NM_015636.3
ZNF513,NM_144631.5
IFT172,NM_015662.2
GCKR,NM_001486.3
C2orf16,NM_032266.3
GPN1,NM_007266.3
PLB1,NM_153021.4
PPP1CB,NM_206876.1
C2orf71,NM_001029883.2
ALK,NM_004304.4
CAPN13,NM_144575.2
GALNT14,NM_024572.3
XDH,NM_000379.3
SRD5A2,NM_000348.3
SPAST,NM_014946.3
SLC30A6,NM_001193513.1
NLRC4,NM_021209.4
BIRC6,NM_016252.3
LTBP1,NM_206943.2
CRIM1,NM_016441.2
NDUFAF7,NM_001083946.1
CYP1B1,NM_000104.3
ATL2,NM_001135673.1
SRSF7,NM_001031684.2
DHX57,NM_198963.1
SOS1,NM_005633.3
SLC8A1,NM_021097.2
PKDCC,NM_138370.2
COX7A2L,NM_004718.2
OXER1,NM_148962.4
HAAO,NM_012205.2
THADA,NM_022065.4
PLEKHH2,NM_172069.3
DYNC2LI1,NM_016008.3
ABCG5,NM_022436.2
ABCG8,NM_022437.2
LRPPRC,NM_133259.3
SLC3A1,NM_000341.3
PREPL,NM_006036.4
SIX3,NM_005413.3
SIX2,NM_016932.4
PRKCE,NM_005400.2
EPAS1,NM_001430.4
PIGF,NM_002643.3
CRIPT,NM_014171.5
MCFD2,NM_139279.5
TTC7A,NM_020458.3
CALM2,NM_001743.4
EPCAM,NM_002354.2
MSH2,NM_000251.2
MSH6,NM_000179.2
FBXO11,NM_001190274.1
PPP1R21,NM_001135629.2
LHCGR,NM_000233.3
FSHR,NM_000145.3
NRXN1,NM_001135659.1
NRXN1,NM_138735.2
ASB3,NM_001201965.1
GPR75,NM_006794.3
PSME4,NM_014614.2
CLHC1,NM_152385.2
RPS27A,NM_002954.5
MTIF2,NM_001005369.1
CCDC88A,NM_001135597.1
PNPT1,NM_033109.4
EFEMP1,NM_001039348.2
FANCL,NM_018062.3
BCL11A,NM_022893.3
PEX13,NM_002618.3
USP34,NM_014709.3
FAM161A,NM_001201543.1
COMMD1,NM_152516.2
WDPCP,NM_015910.5
SLC1A4,NM_003038.4
CEP68,NM_015147.2
SPRED2,NM_181784.2
MEIS1,NM_002398.2
PROKR1,NM_138964.2
BMP10,NM_014482.1
ANTXR1,NM_032208.2
GFPT1,NM_002056.3
GFPT1,NM_001244710.1
NFU1,NM_001002755.2
ASPRV1,NM_152792.2
PCBP1,NM_006196.3
C2orf42,NM_017880.1
TIA1,NM_022173.2
PCYOX1,NM_016297.3
FAM136A,NM_032822.2
FIGLA,NM_001004311.3
CD207,NM_015717.4
ATP6V1B1,NM_001692.3
MCEE,NM_032601.3
ZNF638,NM_014497.4
DYSF,NM_003494.3
DYSF,NM_001130978.1
CYP26B1,NM_019885.3
EXOC6B,NM_015189.1
SPR,NM_003124.4
RAB11FIP5,NM_015470.2
PRADC1,NM_032319.1
CCT7,NM_006429.3
ALMS1,NM_015120.4
NAT8,NM_003960.3
TPRKB,NM_016058.2
STAMBP,NM_006463.4
ACTG2,NM_001615.3
DGUOK,NM_080916.2
BOLA3,NM_212552.2
DCTN1,NM_004082.4
MOGS,NM_006302.2
TLX2,NM_016170.4
AUP1,NM_181575.4
HTRA2,NM_013247.4
LOXL3,NM_032603.3
HK2,NM_000189.4
LRRTM4,NM_001134745.1
CTNNA2,NM_001164883.1
SUCLG1,NM_003849.3
DNAH6,NM_001370.1
TCF7L1,NM_031283.2
ELMOD3,NM_032213.4
